TEAM_ID,TEAM_NAME,W_PCT_DIFF,NET_RATING_DIFF,OFF_RATING_DIFF,DEF_RATING_DIFF,PACE_DIFF,EFG_PCT_DIFF,TOV_PCT_DIFF,OREB_PCT_DIFF,FTR_DIFF,W_MINUS_L,W_MINUS_L_RANK
1610612760,Oklahoma City Thunder,,,,,,,,,,54,1
1610612739,Cleveland Cavaliers,,,,,,,,,,46,2
1610612738,Boston Celtics,,,,,,,,,,40,3
1610612745,Houston Rockets,,,,,,,,,,22,4
1610612752,New York Knicks,,,,,,,,,,20,5
1610612747,Los Angeles Lakers,,,,,,,,,,18,6
1610612743,Denver Nuggets,,,,,,,,,,18,6
1610612754,Indiana Pacers,,,,,,,,,,18,6
1610612746,Los Angeles Clippers,,,,,,,,,,18,6
1610612750,Minnesota Timberwolves,,,,,,,,,,16,7
1610612763,Memphis Grizzlies,,,,,,,,,,14,8
1610612744,Golden State Warriors,,,,,,,,,,14,8
1610612749,Milwaukee Bucks,,,,,,,,,,14,8
1610612765,Detroit Pistons,,,,,,,,,,6,9
1610612753,Orlando Magic,,,,,,,,,,0,10
1610612737,Atlanta Hawks,,,,,,,,,,-2,11
1610612758,Sacramento Kings,,,,,,,,,,-2,11
1610612741,Chicago Bulls,,,,,,,,,,-4,12
1610612742,Dallas Mavericks,,,,,,,,,,-4,12
1610612748,Miami Heat,,,,,,,,,,-8,13
1610612756,Phoenix Suns,,,,,,,,,,-10,14
1610612757,Portland Trail Blazers,,,,,,,,,,-10,14
1610612759,San Antonio Spurs,,,,,,,,,,-14,15
1610612761,Toronto Raptors,,,,,,,,,,-22,16
1610612751,Brooklyn Nets,,,,,,,,,,-30,17
1610612755,Philadelphia 76ers,,,,,,,,,,-34,18
1610612740,New Orleans Pelicans,,,,,,,,,,-40,19
1610612766,Charlotte Hornets,,,,,,,,,,-44,20
1610612764,Washington Wizards,,,,,,,,,,-46,21
1610612762,Utah Jazz,,,,,,,,,,-48,22
