TEAM_ID,TEAM_NAME,W_PCT_DIFF,NET_RATING_DIFF,OFF_RATING_DIFF,DEF_RATING_DIFF,PACE_DIFF,EFG_PCT_DIFF,TOV_PCT_DIFF,OREB_PCT_DIFF,FTR_DIFF,W_MINUS_L
1610612737,Atlanta Hawks,,,,,,,,,,-2
1610612738,Boston Celtics,,,,,,,,,,40
1610612739,Cleveland Cavaliers,,,,,,,,,,46
1610612740,New Orleans Pelicans,,,,,,,,,,-40
1610612741,Chicago Bulls,,,,,,,,,,-4
1610612742,Dallas Mavericks,,,,,,,,,,-4
1610612743,Denver Nuggets,,,,,,,,,,18
1610612744,Golden State Warriors,,,,,,,,,,14
1610612745,Houston Rockets,,,,,,,,,,22
1610612746,Los Angeles Clippers,,,,,,,,,,18
1610612747,Los Angeles Lakers,,,,,,,,,,18
1610612748,Miami Heat,,,,,,,,,,-8
1610612749,Milwaukee Bucks,,,,,,,,,,14
1610612750,Minnesota Timberwolves,,,,,,,,,,16
1610612751,Brooklyn Nets,,,,,,,,,,-30
1610612752,New York Knicks,,,,,,,,,,20
1610612753,Orlando Magic,,,,,,,,,,0
1610612754,Indiana Pacers,,,,,,,,,,18
1610612755,Philadelphia 76ers,,,,,,,,,,-34
1610612756,Phoenix Suns,,,,,,,,,,-10
1610612757,Portland Trail Blazers,,,,,,,,,,-10
1610612758,Sacramento Kings,,,,,,,,,,-2
1610612759,San Antonio Spurs,,,,,,,,,,-14
1610612760,Oklahoma City Thunder,,,,,,,,,,54
1610612761,Toronto Raptors,,,,,,,,,,-22
1610612762,Utah Jazz,,,,,,,,,,-48
1610612763,Memphis Grizzlies,,,,,,,,,,14
1610612764,Washington Wizards,,,,,,,,,,-46
1610612765,Detroit Pistons,,,,,,,,,,6
1610612766,Charlotte Hornets,,,,,,,,,,-44
