TEAM_ID,TEAM_NAME,FG_PCT_AWAY,FG_PCT_HOME,FG_PCT_NEUTRAL,FG3_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_NEUTRAL,FT_PCT_AWAY,FT_PCT_HOME,FT_PCT_NEUTRAL,PTS_AWAY,PTS_HOME,PTS_NEUTRAL,PLUS_MINUS_AWAY,PLUS_MINUS_HOME,PLUS_MINUS_NEUTRAL
1610612737,Atlanta Hawks,0.469,0.469,0.427,0.362,0.351,0.417,0.765,0.777,0.647,5047.0,4973.0,102.0,-46.0,-61.0,-8.0
1610612738,Boston Celtics,0.458,0.466,,0.363,0.369,,0.792,0.798,,4917.0,5096.0,,405.0,340.0,
1610612739,Cleveland Cavaliers,0.487,0.491,,0.378,0.379,,0.79,0.763,,5161.0,5303.0,,313.0,465.0,
1610612740,New Orleans Pelicans,0.453,0.449,,0.339,0.352,,0.731,0.78,,4695.0,4715.0,,-574.0,-236.0,
1610612741,Chicago Bulls,0.471,0.462,,0.37,0.36,,0.802,0.809,,5121.0,4978.0,,-78.0,-83.0,
1610612742,Dallas Mavericks,0.481,0.472,,0.366,0.358,,0.776,0.76,,4982.0,4818.0,,-224.0,94.0,
1610612743,Denver Nuggets,0.502,0.498,,0.36,0.384,,0.771,0.777,,5028.0,5276.0,,72.0,244.0,
1610612744,Golden State Warriors,0.453,0.451,,0.355,0.367,,0.777,0.748,,5004.0,5082.0,,195.0,182.0,
1610612745,Houston Rockets,0.458,0.451,0.365,0.356,0.349,0.239,0.737,0.743,0.6,4897.0,4838.0,96.0,136.0,252.0,-15.0
1610612746,Los Angeles Clippers,0.475,0.486,,0.362,0.383,,0.777,0.818,,4863.0,4883.0,,39.0,393.0,
1610612747,Los Angeles Lakers,0.466,0.477,,0.353,0.366,,0.785,0.767,,4917.0,5060.0,,-131.0,187.0,
1610612748,Miami Heat,0.452,0.482,0.422,0.351,0.39,0.405,0.797,0.776,0.708,4832.0,5011.0,118.0,-34.0,129.0,20.0
1610612749,Milwaukee Bucks,0.475,0.492,0.453,0.369,0.397,0.311,0.736,0.758,0.667,4755.0,5043.0,110.0,-79.0,184.0,8.0
1610612750,Minnesota Timberwolves,0.463,0.47,,0.37,0.377,,0.779,0.79,,4824.0,5032.0,,140.0,311.0,
1610612751,Brooklyn Nets,0.436,0.437,,0.346,0.342,,0.795,0.771,,4539.0,4539.0,,-231.0,-357.0,
1610612752,New York Knicks,0.477,0.492,,0.365,0.373,,0.803,0.792,,4941.0,5015.0,,61.0,274.0,
1610612753,Orlando Magic,0.448,0.447,,0.317,0.327,,0.784,0.771,,4605.0,4535.0,,-108.0,107.0,
1610612754,Indiana Pacers,0.475,0.495,0.487,0.354,0.378,0.366,0.789,0.777,0.846,4897.0,4932.0,246.0,-47.0,191.0,8.0
1610612755,Philadelphia 76ers,0.455,0.451,,0.341,0.34,,0.788,0.78,,4884.0,4856.0,,-230.0,-247.0,
1610612756,Phoenix Suns,0.477,0.475,,0.374,0.376,,0.804,0.812,,4891.0,4885.0,,-264.0,13.0,
1610612757,Portland Trail Blazers,0.442,0.45,,0.319,0.354,,0.748,0.769,,4636.0,4886.0,,-236.0,-16.0,
1610612758,Sacramento Kings,0.475,0.48,,0.341,0.373,,0.806,0.801,,4919.0,4997.0,,-38.0,74.0,
1610612759,San Antonio Spurs,0.442,0.47,0.514,0.337,0.364,0.426,0.769,0.764,0.742,4727.0,5022.0,238.0,-195.0,-50.0,-8.0
1610612760,Oklahoma City Thunder,0.469,0.483,0.45,0.36,0.383,0.367,0.807,0.815,0.875,5154.0,5298.0,111.0,385.0,618.0,15.0
1610612761,Toronto Raptors,0.452,0.457,,0.338,0.351,,0.735,0.76,,4741.0,4766.0,,-295.0,-86.0,
1610612762,Utah Jazz,0.452,0.453,,0.339,0.357,,0.78,0.762,,4779.0,5092.0,,-414.0,-373.0,
1610612763,Memphis Grizzlies,0.464,0.49,,0.358,0.37,,0.77,0.796,,5488.0,5371.0,,101.0,350.0,
1610612764,Washington Wizards,0.432,0.44,0.418,0.342,0.331,0.2,0.779,0.779,0.714,4520.0,4667.0,98.0,-492.0,-506.0,-20.0
1610612765,Detroit Pistons,0.477,0.469,,0.365,0.353,,0.774,0.763,,5010.0,4891.0,,89.0,65.0,
1610612766,Charlotte Hornets,0.425,0.435,,0.335,0.34,,0.791,0.772,,4711.0,4622.0,,-461.0,-183.0,
