TEAM_ID,TEAM_NAME,W_HOME,L_HOME,W_PCT_HOME,W_AWAY,L_AWAY,W_PCT_AWAY,TOTAL_GP,GP_AWAY,GP_HOME,GP_NEUTRAL,W_NEUTRAL,L_NEUTRAL,W_PCT_NEUTRAL
1610612737,Atlanta Hawks,21.0,22.0,0.488,19.0,24.0,0.442,86.0,43.0,43.0,1.0,0.0,1.0,0.0
1610612738,Boston Celtics,28.0,16.0,0.636,35.0,8.0,0.814,87.0,43.0,44.0,,,,
1610612739,Cleveland Cavaliers,35.0,9.0,0.795,31.0,12.0,0.721,87.0,43.0,44.0,,,,
1610612740,New Orleans Pelicans,14.0,29.0,0.326,7.0,37.0,0.159,87.0,44.0,43.0,,,,
1610612741,Chicago Bulls,20.0,23.0,0.465,21.0,23.0,0.477,87.0,44.0,43.0,,,,
1610612742,Dallas Mavericks,22.0,21.0,0.512,18.0,26.0,0.409,87.0,44.0,43.0,,,,
1610612743,Denver Nuggets,28.0,16.0,0.636,24.0,19.0,0.558,87.0,43.0,44.0,,,,
1610612744,Golden State Warriors,29.0,17.0,0.63,26.0,18.0,0.591,90.0,44.0,46.0,,,,
1610612745,Houston Rockets,29.0,14.0,0.674,25.0,18.0,0.581,86.0,43.0,43.0,1.0,0.0,1.0,0.0
1610612746,Los Angeles Clippers,32.0,11.0,0.744,22.0,22.0,0.5,87.0,44.0,43.0,,,,
1610612747,Los Angeles Lakers,32.0,13.0,0.711,21.0,24.0,0.467,90.0,45.0,45.0,,,,
1610612748,Miami Heat,23.0,22.0,0.511,21.0,24.0,0.467,90.0,45.0,45.0,1.0,1.0,0.0,1.0
1610612749,Milwaukee Bucks,27.0,16.0,0.628,20.0,23.0,0.465,86.0,43.0,43.0,1.0,1.0,0.0,1.0
1610612750,Minnesota Timberwolves,27.0,17.0,0.614,26.0,17.0,0.605,87.0,43.0,44.0,,,,
1610612751,Brooklyn Nets,14.0,30.0,0.318,15.0,28.0,0.349,87.0,43.0,44.0,,,,
1610612752,New York Knicks,28.0,15.0,0.651,26.0,18.0,0.591,87.0,44.0,43.0,,,,
1610612753,Orlando Magic,23.0,20.0,0.535,20.0,24.0,0.455,87.0,44.0,43.0,,,,
1610612754,Indiana Pacers,29.0,13.0,0.69,21.0,22.0,0.488,85.0,43.0,42.0,2.0,1.0,1.0,0.5
1610612755,Philadelphia 76ers,14.0,31.0,0.311,15.0,30.0,0.333,90.0,45.0,45.0,,,,
1610612756,Phoenix Suns,25.0,18.0,0.581,13.0,31.0,0.295,87.0,44.0,43.0,,,,
1610612757,Portland Trail Blazers,24.0,20.0,0.545,15.0,28.0,0.349,87.0,43.0,44.0,,,,
1610612758,Sacramento Kings,22.0,22.0,0.5,20.0,23.0,0.465,87.0,43.0,44.0,,,,
1610612759,San Antonio Spurs,22.0,22.0,0.5,16.0,28.0,0.364,88.0,44.0,44.0,2.0,1.0,1.0,0.5
1610612760,Oklahoma City Thunder,36.0,8.0,0.818,34.0,11.0,0.756,89.0,45.0,44.0,1.0,1.0,0.0,1.0
1610612761,Toronto Raptors,20.0,23.0,0.465,12.0,32.0,0.273,87.0,44.0,43.0,,,,
1610612762,Utah Jazz,14.0,33.0,0.298,8.0,35.0,0.186,90.0,43.0,47.0,,,,
1610612763,Memphis Grizzlies,29.0,15.0,0.659,25.0,22.0,0.532,91.0,47.0,44.0,,,,
1610612764,Washington Wizards,10.0,33.0,0.233,11.0,32.0,0.256,86.0,43.0,43.0,1.0,0.0,1.0,0.0
1610612765,Detroit Pistons,23.0,20.0,0.535,23.0,21.0,0.523,87.0,44.0,43.0,,,,
1610612766,Charlotte Hornets,14.0,30.0,0.318,12.0,34.0,0.261,90.0,46.0,44.0,,,,
